Nr okręgu,Nr obwodu,Nazwa,Siedziba,Typ,Granice,Liczba mieszkańców,Liczba wyborców,PR - liczba wyborców,PR - liczba kart w urnie,RM - liczba wyborców,RM - liczba kart w urnie
1,1,Zespół Szkół nr 5 im. Bolesława Chrobrego,ul. Różana 1/3 Poznań,stały,"ul. Dworcowa nieparzyste 1, parzyste 2, ul. Górna Wilda parzyste 66 - 82, ul. Jana Żupańskiego nieparzyste 9 - 11, parzyste 8 - 10, ul. ks. Jakuba Wujka nieparzyste 35, ul. Mieczysława Niedziałkowskiego nieparzyste 1, 23 - 27, parzyste 2 - 2A, 22 - 30, ul. Poplińskich nieparzyste 1 - 3, parzyste 2, ul. Przemysłowa parzyste 2, ul. Różana nieparzyste 1/3 - 23, parzyste 4 - 10a, 14 - 22, ul. Spadzista wszystkie adresy, ul. Stanisława Matyi wszystkie adresy, ul. św. Czesława nieparzyste 5 - 11a, parzyste 6 - 12, ul. Topolowa nieparzyste 11, ul. Wierzbięcice parzyste 2a, 8 - 10, 12 - 18, 20",1039,870,876,414,876,414
1,2,Poznańskie Ośrodki Sportu i Rekreacji,ul. Jana Spychalskiego 34 Poznań,stały,"ul. Bielniki wszystkie adresy, ul. Czajcza nieparzyste 1A - 5, parzyste 2 - 6, ul. Dolina wszystkie adresy, ul. Dolna Wilda nieparzyste 27, parzyste 4 - 44, ul. Droga Dębińska nieparzyste 3 - 21, parzyste 10 - 12a, ul. Głęboka wszystkie adresy, ul. Górna Wilda nieparzyste 61 - 81, 83a - 109, ul. Jana Spychalskiego nieparzyste 39 - 41, parzyste 26 - 38, ul. Królowej Jadwigi nieparzyste 15 - 51, ul. Maratońska wszystkie adresy, ul. o. Mariana Żelazka wszystkie adresy, ul. Olimpijska wszystkie adresy, ul. Piastowska nieparzyste 35, parzyste 38 - 48, ul. Przy Dolinie wszystkie adresy, ul. Wierzbięcice parzyste 46",2340,1909,1923,1104,1923,1100
1,3,Przedszkole nr 87 im. Jacusia i Agatki,ul. św. Czesława 6a Poznań,stały,"ul. Górna Wilda parzyste 86 - 106, ul. Jana Spychalskiego nieparzyste 11 - 31, parzyste 16 - 24, ul. Jana Żupańskiego nieparzyste 13 - 21, parzyste 12 - 22a, ul. Poplińskich nieparzyste 5 - 9, parzyste 4 - 8a, ul. Przemysłowa nieparzyste 37 - 41, ul. Różana parzyste 12, ul. Wierzbięcice nieparzyste 29 - 33, parzyste 28 - 44A",1540,1254,1252,567,1252,567
1,4,Zespół Szkół nr 5 im. Bolesława Chrobrego,ul. Różana 1/3 Poznań,stały,"ul. Jana Żupańskiego nieparzyste 3 - 7, parzyste 2 - 6a, ul. ks. Jakuba Wujka nieparzyste 1 - 15/17, ul. Mieczysława Niedziałkowskiego nieparzyste 7, parzyste 6 - 20, ul. Poplińskich nieparzyste 11, parzyste 10 - 12a, ul. Przemysłowa nieparzyste 11 - 35, ul. św. Czesława nieparzyste 1 - 1b, 3a - 3c, 13 - 19a, parzyste 2a - 4a, 14 - 18a, ul. Topolowa nieparzyste 1/3 - 5, ul. Wierzbięcice nieparzyste 1 - 13, 15 - 27, parzyste 2, 4 - 6, 22 - 26",1550,1311,1312,624,1312,624
1,5,Branżowa Szkoła I Stopnia nr 42 w Poznaniu,ul. św. Jerzego 6/10 Poznań,stały,"ul. Gothilfa Bergera wszystkie adresy, ul. Jana Spychalskiego nieparzyste 1 - 7, parzyste 6, pl. Marii Skłodowskiej-Curie wszystkie adresy, ul. Przemysłowa parzyste 22/24 - 70, ul. Robocza nieparzyste 3 - 5, 9 - 25, parzyste 4, ul. Stefana Czarnieckiego wszystkie adresy, ul. Władysława Sikorskiego nieparzyste 1 - 17, 19 - 21, parzyste 2 - 20",2118,1726,1724,881,1724,881
1,6,Branżowa Szkoła I Stopnia nr 42 w Poznaniu,ul. św. Jerzego 6/10 Poznań,stały,"ul. 28 Czerwca 1956 r. nieparzyste 113 - 123, ul. Czajcza nieparzyste 11, parzyste 10 - 14, ul. Dolna Wilda parzyste 46 - 50, ul. Jana Spychalskiego parzyste 8 - 14, ul. Powstańcza nieparzyste 1 - 7, parzyste 4 - 6, ul. Przemysłowa nieparzyste 45a - 55, ul. św. Jerzego nieparzyste 1 - 15D, ul. Wierzbięcice nieparzyste 35 - 59, parzyste 50 - 58, rynek Wildecki wszystkie adresy",1805,1486,1487,770,1487,769
1,7,Szkoła Podstawowa nr 5 im. Romualda Traugutta,ul. Romualda Traugutta 42 Poznań,stały,"ul. 28 Czerwca 1956 r. nieparzyste 159, 161/163 - 177, ul. Dąbrówki nieparzyste 1 - 3, parzyste 2, 4, ul. Dezyderego Chłapowskiego nieparzyste 9 - 15, parzyste 10 - 14, ul. Dolna Wilda nieparzyste 87 - 91, parzyste 86 - 104/106, ul. Droga Dębińska nieparzyste 23 - 25, parzyste 14, ul. Filarecka wszystkie adresy, ul. Hetmańska nieparzyste 101 - 111, ul. Kazimierza Mielęckiego wszystkie adresy, ul. Mariana Langiewicza nieparzyste 3 - 5a, parzyste 2 - 6, ul. Pamiątkowa nieparzyste 17 - 29, parzyste 18 - 28A, ul. Piastowska nieparzyste 71, ul. Rolna nieparzyste 1 - 9, parzyste 6 - 8a, ul. Romualda Traugutta nieparzyste 19 - 25, 27 - 33, parzyste 28 - 52, ul. Zmartwychwstańców wszystkie adresy",1713,1400,1416,729,1416,728
1,8,V Liceum Ogólnokształcące im. Klaudyny Potockiej,ul. Zmartwychwstańców 10 Poznań,stały,"ul. 28 Czerwca 1956 r. nieparzyste 125 - 153, ul. Dąbrówki nieparzyste 13 - 15, parzyste 14 - 16, ul. Dezyderego Chłapowskiego nieparzyste 1 - 7, 17/18 - 25, 27 - 29, parzyste 2 - 8, 24 - 30, ul. Dolna Wilda parzyste 52 - 80B, ul. Krzyżowa wszystkie adresy, ul. Mariana Langiewicza nieparzyste 17 - 23, parzyste 18 - 22, ul. Powstańcza nieparzyste 9 - 17, ul. św. Jerzego parzyste 6/10 - 24, ul. Wierzbięcice nieparzyste 63 - 65, parzyste 64 - 66",1846,1543,1549,802,1549,805
1,9,Szkoła Podstawowa nr 25 z Oddziałami Integracyjnymi i Specjalnymi,ul. Ignacego Prądzyńskiego 53 Poznań,stały,"ul. 28 Czerwca 1956 r. parzyste 122 - 144, ul. Antoniego Kosińskiego nieparzyste 1 - 5, parzyste 2 - 6, ul. Ignacego Prądzyńskiego nieparzyste 11 - 15a, 53 - 57, parzyste 10 - 16, 54 - 56, ul. Jana Kilińskiego wszystkie adresy, ul. Józefa Wybickiego wszystkie adresy, ul. Władysława Sikorskiego nieparzyste 29 - 41, parzyste 30 - 42",2266,1849,1882,770,1882,772
1,10,Szkoła Podstawowa nr 25 z Oddziałami Integracyjnymi i Specjalnymi,ul. Ignacego Prądzyńskiego 53 Poznań,stały,"ul. Antoniego Kosińskiego nieparzyste 7 - 25A, parzyste 8 - 26, ul. Fabryczna nieparzyste 9 - 23, parzyste 6 - 22, ul. Ignacego Prądzyńskiego nieparzyste 47 - 51, parzyste 48 - 50a, ul. Jana Umińskiego wszystkie adresy, ul. Józefa Garczyńskiego wszystkie adresy, ul. Robocza nieparzyste 33 - 47, parzyste 40 - 46, 48, ul. Władysława Sikorskiego nieparzyste 23 - 25, parzyste 22 - 26",2057,1684,1695,777,1695,777
