Nr okręgu,Nr obwodu,Kandydat,Liczba głosów
1,1,BONK-HAMMERMEISTER Dorota Magdalena,32
1,1,BRATKOWSKI Wojciech,6
1,1,HINC Przemysław Jakub,8
1,1,JAŚKOWIAK Jacek,231
1,1,LEWANDOWSKI Tomasz Jacek,28
1,1,PUCEK Jarosław,32
1,1,ZYSK Tadeusz,76
1,2,BONK-HAMMERMEISTER Dorota Magdalena,82
1,2,BRATKOWSKI Wojciech,15
1,2,HINC Przemysław Jakub,16
1,2,JAŚKOWIAK Jacek,593
1,2,LEWANDOWSKI Tomasz Jacek,86
1,2,PUCEK Jarosław,59
1,2,ZYSK Tadeusz,217
1,3,BONK-HAMMERMEISTER Dorota Magdalena,34
1,3,BRATKOWSKI Wojciech,3
1,3,HINC Przemysław Jakub,15
1,3,JAŚKOWIAK Jacek,314
1,3,LEWANDOWSKI Tomasz Jacek,45
1,3,PUCEK Jarosław,43
1,3,ZYSK Tadeusz,108
1,4,BONK-HAMMERMEISTER Dorota Magdalena,69
1,4,BRATKOWSKI Wojciech,14
1,4,HINC Przemysław Jakub,11
1,4,JAŚKOWIAK Jacek,330
1,4,LEWANDOWSKI Tomasz Jacek,47
1,4,PUCEK Jarosław,37
1,4,ZYSK Tadeusz,113
1,5,BONK-HAMMERMEISTER Dorota Magdalena,82
1,5,BRATKOWSKI Wojciech,14
1,5,HINC Przemysław Jakub,22
1,5,JAŚKOWIAK Jacek,479
1,5,LEWANDOWSKI Tomasz Jacek,78
1,5,PUCEK Jarosław,67
1,5,ZYSK Tadeusz,135
1,6,BONK-HAMMERMEISTER Dorota Magdalena,70
1,6,BRATKOWSKI Wojciech,9
1,6,HINC Przemysław Jakub,12
1,6,JAŚKOWIAK Jacek,403
1,6,LEWANDOWSKI Tomasz Jacek,52
1,6,PUCEK Jarosław,55
1,6,ZYSK Tadeusz,165
1,7,BONK-HAMMERMEISTER Dorota Magdalena,45
1,7,BRATKOWSKI Wojciech,6
1,7,HINC Przemysław Jakub,21
1,7,JAŚKOWIAK Jacek,432
1,7,LEWANDOWSKI Tomasz Jacek,53
1,7,PUCEK Jarosław,37
1,7,ZYSK Tadeusz,129
1,8,BONK-HAMMERMEISTER Dorota Magdalena,55
1,8,BRATKOWSKI Wojciech,12
1,8,HINC Przemysław Jakub,16
1,8,JAŚKOWIAK Jacek,455
1,8,LEWANDOWSKI Tomasz Jacek,58
1,8,PUCEK Jarosław,53
1,8,ZYSK Tadeusz,149
1,9,BONK-HAMMERMEISTER Dorota Magdalena,58
1,9,BRATKOWSKI Wojciech,14
1,9,HINC Przemysław Jakub,20
1,9,JAŚKOWIAK Jacek,367
1,9,LEWANDOWSKI Tomasz Jacek,74
1,9,PUCEK Jarosław,74
1,9,ZYSK Tadeusz,160
1,10,BONK-HAMMERMEISTER Dorota Magdalena,56
1,10,BRATKOWSKI Wojciech,11
1,10,HINC Przemysław Jakub,19
1,10,JAŚKOWIAK Jacek,407
1,10,LEWANDOWSKI Tomasz Jacek,60
1,10,PUCEK Jarosław,49
1,10,ZYSK Tadeusz,172
1,11,BONK-HAMMERMEISTER Dorota Magdalena,58
1,11,BRATKOWSKI Wojciech,9
1,11,HINC Przemysław Jakub,9
1,11,JAŚKOWIAK Jacek,369
1,11,LEWANDOWSKI Tomasz Jacek,56
1,11,PUCEK Jarosław,55
1,11,ZYSK Tadeusz,138
1,12,BONK-HAMMERMEISTER Dorota Magdalena,103
1,12,BRATKOWSKI Wojciech,22
1,12,HINC Przemysław Jakub,27
1,12,JAŚKOWIAK Jacek,751
1,12,LEWANDOWSKI Tomasz Jacek,72
1,12,PUCEK Jarosław,108
1,12,ZYSK Tadeusz,219
1,13,BONK-HAMMERMEISTER Dorota Magdalena,75
1,13,BRATKOWSKI Wojciech,23
1,13,HINC Przemysław Jakub,22
1,13,JAŚKOWIAK Jacek,567
1,13,LEWANDOWSKI Tomasz Jacek,73
1,13,PUCEK Jarosław,89
1,13,ZYSK Tadeusz,230
1,14,BONK-HAMMERMEISTER Dorota Magdalena,19
1,14,BRATKOWSKI Wojciech,18
1,14,HINC Przemysław Jakub,9
1,14,JAŚKOWIAK Jacek,429
1,14,LEWANDOWSKI Tomasz Jacek,68
1,14,PUCEK Jarosław,58
1,14,ZYSK Tadeusz,217
1,15,BONK-HAMMERMEISTER Dorota Magdalena,37
1,15,BRATKOWSKI Wojciech,11
1,15,HINC Przemysław Jakub,23
1,15,JAŚKOWIAK Jacek,558
1,15,LEWANDOWSKI Tomasz Jacek,62
1,15,PUCEK Jarosław,94
1,15,ZYSK Tadeusz,232
1,16,BONK-HAMMERMEISTER Dorota Magdalena,34
1,16,BRATKOWSKI Wojciech,13
1,16,HINC Przemysław Jakub,11
1,16,JAŚKOWIAK Jacek,449
1,16,LEWANDOWSKI Tomasz Jacek,57
1,16,PUCEK Jarosław,62
1,16,ZYSK Tadeusz,212
1,17,BONK-HAMMERMEISTER Dorota Magdalena,40
1,17,BRATKOWSKI Wojciech,16
1,17,HINC Przemysław Jakub,19
1,17,JAŚKOWIAK Jacek,461
1,17,LEWANDOWSKI Tomasz Jacek,58
1,17,PUCEK Jarosław,126
1,17,ZYSK Tadeusz,193
1,18,BONK-HAMMERMEISTER Dorota Magdalena,34
1,18,BRATKOWSKI Wojciech,12
1,18,HINC Przemysław Jakub,18
1,18,JAŚKOWIAK Jacek,576
1,18,LEWANDOWSKI Tomasz Jacek,63
1,18,PUCEK Jarosław,102
1,18,ZYSK Tadeusz,226
1,19,BONK-HAMMERMEISTER Dorota Magdalena,41
1,19,BRATKOWSKI Wojciech,10
1,19,HINC Przemysław Jakub,17
1,19,JAŚKOWIAK Jacek,588
1,19,LEWANDOWSKI Tomasz Jacek,71
1,19,PUCEK Jarosław,90
1,19,ZYSK Tadeusz,223
1,20,BONK-HAMMERMEISTER Dorota Magdalena,46
1,20,BRATKOWSKI Wojciech,13
1,20,HINC Przemysław Jakub,22
1,20,JAŚKOWIAK Jacek,532
1,20,LEWANDOWSKI Tomasz Jacek,56
1,20,PUCEK Jarosław,63
1,20,ZYSK Tadeusz,192
1,21,BONK-HAMMERMEISTER Dorota Magdalena,29
1,21,BRATKOWSKI Wojciech,11
1,21,HINC Przemysław Jakub,13
1,21,JAŚKOWIAK Jacek,402
1,21,LEWANDOWSKI Tomasz Jacek,57
1,21,PUCEK Jarosław,41
1,21,ZYSK Tadeusz,166
1,22,BONK-HAMMERMEISTER Dorota Magdalena,21
1,22,BRATKOWSKI Wojciech,10
1,22,HINC Przemysław Jakub,20
1,22,JAŚKOWIAK Jacek,355
1,22,LEWANDOWSKI Tomasz Jacek,68
