Nr okręgu,Nr obwodu,Komitet wyborczy,Kandydat,Liczba głosów
1,1,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,KIERZEK-KOPERSKA Katarzyna Renata,70
1,1,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,MIKUŁA Łukasz Michał,28
1,1,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,KUCHARCZYK Jakub Piotr,12
1,1,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,OLSZAK Filip Marian,5
1,1,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,URBAŃSKA Wiesława Danuta,10
1,1,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,MAZUREK Marta,20
1,1,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,MICHALAK-PIETKIEWICZ Agnieszka Małgorzata,7
1,1,KWW KUKIZ'15,TAMUĆ Wojciech,7
1,1,KWW KUKIZ'15,BEDNARZ Artur Wojciech,5
1,1,KWW KUKIZ'15,FRANKOWSKI Mariusz Piotr,3
1,1,KWW KUKIZ'15,MICHALCZEWSKA Karolina Anna,0
1,1,KWW KUKIZ'15,FOREMSKA Patrycja Joanna,0
1,1,KW PRAWO I SPRAWIEDLIWOŚĆ,SULANOWSKI Jan Henryk,40
1,1,KW PRAWO I SPRAWIEDLIWOŚĆ,DUDZIAK Lidia Danuta,28
1,1,KW PRAWO I SPRAWIEDLIWOŚĆ,RAJEWICZ-SZYBA Iwona,3
1,1,KW PRAWO I SPRAWIEDLIWOŚĆ,GORZELAŃCZYK Stanisław Bogdan,1
1,1,KW PRAWO I SPRAWIEDLIWOŚĆ,PRZYBYŁA Adrian,4
1,1,KW PRAWO I SPRAWIEDLIWOŚĆ,NIEMCZEWSKA Agnieszka,2
1,1,KW PRAWO I SPRAWIEDLIWOŚĆ,ROLEWSKI Jarosław Jan,1
1,1,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,KOWALCZYK Mirosław Zbigniew,3
1,1,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,KULECZKA Agnieszka Marzena,2
1,1,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,BRZESZCZYŃSKI Piotr Zbigniew,0
1,1,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,PREISS Elżbieta Anna,2
1,1,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,BRZESZCZYŃSKA Magdalena,0
1,1,KWW JAROSŁAWA PUCKA DOBRO MIASTA,WOŚKOWIAK Wojciech Tadeusz,12
1,1,KWW JAROSŁAWA PUCKA DOBRO MIASTA,KACZMAREK Bartosz Piotr,3
1,1,KWW JAROSŁAWA PUCKA DOBRO MIASTA,WOŹNIAK Mariusz Roman,4
1,1,KWW JAROSŁAWA PUCKA DOBRO MIASTA,BABICZ Adam Franciszek,2
1,1,KWW JAROSŁAWA PUCKA DOBRO MIASTA,RÓŻYCKA Aleksandra,0
1,1,KWW JAROSŁAWA PUCKA DOBRO MIASTA,JAKUBOWSKA Hanna Maria,0
1,1,KWW JAROSŁAWA PUCKA DOBRO MIASTA,CHODOROWSKA Anna Barbara,1
1,1,KWW LEWICA,KRETKOWSKA Katarzyna Maria,33
1,1,KWW LEWICA,SZLINDER Maciej Karol,7
1,1,KWW LEWICA,ŁAZARZ Maria,1
1,1,KWW LEWICA,KRZYWOSZ Marian,0
1,1,KWW LEWICA,CZUBAŁA Małgorzata Maria,2
1,1,KWW LEWICA,MAJEWSKI Dawid,1
1,1,KWW LEWICA,ROHDE Wojciech Marian,1
1,1,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,BONK-HAMMERMEISTER Dorota Magdalena,53
1,1,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,KLUK Arkadiusz,11
1,1,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,SOŁTYSIAK-ŁUCZAK Aleksandra Marta,4
1,1,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,JANOWSKI Andrzej Piotr,4
1,1,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,ŁODZIAK Dorota,6
1,1,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,SCHMIDT Filip Maria,0
1,1,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,GARCZARCZYK Magdalena Anna,2
1,2,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,KIERZEK-KOPERSKA Katarzyna Renata,218
1,2,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,MIKUŁA Łukasz Michał,141
1,2,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,KUCHARCZYK Jakub Piotr,32
1,2,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,OLSZAK Filip Marian,32
1,2,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,URBAŃSKA Wiesława Danuta,17
1,2,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,MAZUREK Marta,40
1,2,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,MICHALAK-PIETKIEWICZ Agnieszka Małgorzata,18
1,2,KWW KUKIZ'15,TAMUĆ Wojciech,20
1,2,KWW KUKIZ'15,BEDNARZ Artur Wojciech,7
1,2,KWW KUKIZ'15,FRANKOWSKI Mariusz Piotr,5
1,2,KWW KUKIZ'15,MICHALCZEWSKA Karolina Anna,3
1,2,KWW KUKIZ'15,FOREMSKA Patrycja Joanna,1
1,2,KW PRAWO I SPRAWIEDLIWOŚĆ,SULANOWSKI Jan Henryk,116
1,2,KW PRAWO I SPRAWIEDLIWOŚĆ,DUDZIAK Lidia Danuta,64
1,2,KW PRAWO I SPRAWIEDLIWOŚĆ,RAJEWICZ-SZYBA Iwona,5
1,2,KW PRAWO I SPRAWIEDLIWOŚĆ,GORZELAŃCZYK Stanisław Bogdan,9
1,2,KW PRAWO I SPRAWIEDLIWOŚĆ,PRZYBYŁA Adrian,3
1,2,KW PRAWO I SPRAWIEDLIWOŚĆ,NIEMCZEWSKA Agnieszka,7
1,2,KW PRAWO I SPRAWIEDLIWOŚĆ,ROLEWSKI Jarosław Jan,10
1,2,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,KOWALCZYK Mirosław Zbigniew,5
1,2,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,KULECZKA Agnieszka Marzena,1
1,2,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,BRZESZCZYŃSKI Piotr Zbigniew,2
1,2,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,PREISS Elżbieta Anna,1
1,2,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,BRZESZCZYŃSKA Magdalena,0
1,2,KWW JAROSŁAWA PUCKA DOBRO MIASTA,WOŚKOWIAK Wojciech Tadeusz,18
1,2,KWW JAROSŁAWA PUCKA DOBRO MIASTA,KACZMAREK Bartosz Piotr,5
1,2,KWW JAROSŁAWA PUCKA DOBRO MIASTA,WOŹNIAK Mariusz Roman,10
1,2,KWW JAROSŁAWA PUCKA DOBRO MIASTA,BABICZ Adam Franciszek,21
1,2,KWW JAROSŁAWA PUCKA DOBRO MIASTA,RÓŻYCKA Aleksandra,5
1,2,KWW JAROSŁAWA PUCKA DOBRO MIASTA,JAKUBOWSKA Hanna Maria,1
1,2,KWW JAROSŁAWA PUCKA DOBRO MIASTA,CHODOROWSKA Anna Barbara,2
1,2,KWW LEWICA,KRETKOWSKA Katarzyna Maria,56
1,2,KWW LEWICA,SZLINDER Maciej Karol,12
1,2,KWW LEWICA,ŁAZARZ Maria,1
1,2,KWW LEWICA,KRZYWOSZ Marian,0
1,2,KWW LEWICA,CZUBAŁA Małgorzata Maria,0
1,2,KWW LEWICA,MAJEWSKI Dawid,4
1,2,KWW LEWICA,ROHDE Wojciech Marian,3
1,2,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,BONK-HAMMERMEISTER Dorota Magdalena,126
1,2,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,KLUK Arkadiusz,18
1,2,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,SOŁTYSIAK-ŁUCZAK Aleksandra Marta,5
1,2,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,JANOWSKI Andrzej Piotr,5
1,2,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,ŁODZIAK Dorota,6
1,2,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,SCHMIDT Filip Maria,1
1,2,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,GARCZARCZYK Magdalena Anna,9
1,3,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,KIERZEK-KOPERSKA Katarzyna Renata,91
1,3,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,MIKUŁA Łukasz Michał,45
1,3,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,KUCHARCZYK Jakub Piotr,24
1,3,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,OLSZAK Filip Marian,13
1,3,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,URBAŃSKA Wiesława Danuta,4
1,3,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,MAZUREK Marta,20
1,3,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,MICHALAK-PIETKIEWICZ Agnieszka Małgorzata,6
1,3,KWW KUKIZ'15,TAMUĆ Wojciech,11
1,3,KWW KUKIZ'15,BEDNARZ Artur Wojciech,3
1,3,KWW KUKIZ'15,FRANKOWSKI Mariusz Piotr,0
1,3,KWW KUKIZ'15,MICHALCZEWSKA Karolina Anna,8
1,3,KWW KUKIZ'15,FOREMSKA Patrycja Joanna,0
1,3,KW PRAWO I SPRAWIEDLIWOŚĆ,SULANOWSKI Jan Henryk,51
1,3,KW PRAWO I SPRAWIEDLIWOŚĆ,DUDZIAK Lidia Danuta,44
1,3,KW PRAWO I SPRAWIEDLIWOŚĆ,RAJEWICZ-SZYBA Iwona,3
1,3,KW PRAWO I SPRAWIEDLIWOŚĆ,GORZELAŃCZYK Stanisław Bogdan,1
1,3,KW PRAWO I SPRAWIEDLIWOŚĆ,PRZYBYŁA Adrian,4
1,3,KW PRAWO I SPRAWIEDLIWOŚĆ,NIEMCZEWSKA Agnieszka,4
1,3,KW PRAWO I SPRAWIEDLIWOŚĆ,ROLEWSKI Jarosław Jan,8
1,3,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,KOWALCZYK Mirosław Zbigniew,3
1,3,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,KULECZKA Agnieszka Marzena,5
1,3,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,BRZESZCZYŃSKI Piotr Zbigniew,0
1,3,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,PREISS Elżbieta Anna,0
1,3,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,BRZESZCZYŃSKA Magdalena,2
1,3,KWW JAROSŁAWA PUCKA DOBRO MIASTA,WOŚKOWIAK Wojciech Tadeusz,11
1,3,KWW JAROSŁAWA PUCKA DOBRO MIASTA,KACZMAREK Bartosz Piotr,3
1,3,KWW JAROSŁAWA PUCKA DOBRO MIASTA,WOŹNIAK Mariusz Roman,4
1,3,KWW JAROSŁAWA PUCKA DOBRO MIASTA,BABICZ Adam Franciszek,12
1,3,KWW JAROSŁAWA PUCKA DOBRO MIASTA,RÓŻYCKA Aleksandra,1
1,3,KWW JAROSŁAWA PUCKA DOBRO MIASTA,JAKUBOWSKA Hanna Maria,2
1,3,KWW JAROSŁAWA PUCKA DOBRO MIASTA,CHODOROWSKA Anna Barbara,3
1,3,KWW LEWICA,KRETKOWSKA Katarzyna Maria,50
1,3,KWW LEWICA,SZLINDER Maciej Karol,5
1,3,KWW LEWICA,ŁAZARZ Maria,2
1,3,KWW LEWICA,KRZYWOSZ Marian,0
1,3,KWW LEWICA,CZUBAŁA Małgorzata Maria,5
1,3,KWW LEWICA,MAJEWSKI Dawid,5
1,3,KWW LEWICA,ROHDE Wojciech Marian,1
1,3,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,BONK-HAMMERMEISTER Dorota Magdalena,68
1,3,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,KLUK Arkadiusz,9
1,3,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,SOŁTYSIAK-ŁUCZAK Aleksandra Marta,3
1,3,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,JANOWSKI Andrzej Piotr,4
1,3,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,ŁODZIAK Dorota,3
1,3,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,SCHMIDT Filip Maria,1
1,3,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,GARCZARCZYK Magdalena Anna,4
1,4,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,KIERZEK-KOPERSKA Katarzyna Renata,100
1,4,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,MIKUŁA Łukasz Michał,47
1,4,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,KUCHARCZYK Jakub Piotr,15
1,4,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,OLSZAK Filip Marian,12
1,4,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,URBAŃSKA Wiesława Danuta,10
1,4,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,MAZUREK Marta,38
1,4,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,MICHALAK-PIETKIEWICZ Agnieszka Małgorzata,15
1,4,KWW KUKIZ'15,TAMUĆ Wojciech,7
1,4,KWW KUKIZ'15,BEDNARZ Artur Wojciech,4
1,4,KWW KUKIZ'15,FRANKOWSKI Mariusz Piotr,1
1,4,KWW KUKIZ'15,MICHALCZEWSKA Karolina Anna,4
1,4,KWW KUKIZ'15,FOREMSKA Patrycja Joanna,0
1,4,KW PRAWO I SPRAWIEDLIWOŚĆ,SULANOWSKI Jan Henryk,69
1,4,KW PRAWO I SPRAWIEDLIWOŚĆ,DUDZIAK Lidia Danuta,41
1,4,KW PRAWO I SPRAWIEDLIWOŚĆ,RAJEWICZ-SZYBA Iwona,5
1,4,KW PRAWO I SPRAWIEDLIWOŚĆ,GORZELAŃCZYK Stanisław Bogdan,3
1,4,KW PRAWO I SPRAWIEDLIWOŚĆ,PRZYBYŁA Adrian,3
1,4,KW PRAWO I SPRAWIEDLIWOŚĆ,NIEMCZEWSKA Agnieszka,6
1,4,KW PRAWO I SPRAWIEDLIWOŚĆ,ROLEWSKI Jarosław Jan,4
1,4,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,KOWALCZYK Mirosław Zbigniew,2
1,4,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,KULECZKA Agnieszka Marzena,4
