Nr obwodu,Kandydat,Liczba głosów
1,BONK-HAMMERMEISTER Dorota Magdalena,32
1,BRATKOWSKI Wojciech,6
1,HINC Przemysław Jakub,8
1,JAŚKOWIAK Jacek,231
1,LEWANDOWSKI Tomasz Jacek,28
1,PUCEK Jarosław,32
1,ZYSK Tadeusz,76
2,BONK-HAMMERMEISTER Dorota Magdalena,82
2,BRATKOWSKI Wojciech,15
2,HINC Przemysław Jakub,16
2,JAŚKOWIAK Jacek,593
2,LEWANDOWSKI Tomasz Jacek,86
2,PUCEK Jarosław,59
2,ZYSK Tadeusz,217
3,BONK-HAMMERMEISTER Dorota Magdalena,34
3,BRATKOWSKI Wojciech,3
3,HINC Przemysław Jakub,15
3,JAŚKOWIAK Jacek,314
3,LEWANDOWSKI Tomasz Jacek,45
3,PUCEK Jarosław,43
3,ZYSK Tadeusz,108
4,BONK-HAMMERMEISTER Dorota Magdalena,69
4,BRATKOWSKI Wojciech,14
4,HINC Przemysław Jakub,11
4,JAŚKOWIAK Jacek,330
4,LEWANDOWSKI Tomasz Jacek,47
4,PUCEK Jarosław,37
4,ZYSK Tadeusz,113
5,BONK-HAMMERMEISTER Dorota Magdalena,82
5,BRATKOWSKI Wojciech,14
5,HINC Przemysław Jakub,22
5,JAŚKOWIAK Jacek,479
5,LEWANDOWSKI Tomasz Jacek,78
5,PUCEK Jarosław,67
5,ZYSK Tadeusz,135
6,BONK-HAMMERMEISTER Dorota Magdalena,70
6,BRATKOWSKI Wojciech,9
6,HINC Przemysław Jakub,12
6,JAŚKOWIAK Jacek,403
6,LEWANDOWSKI Tomasz Jacek,52
6,PUCEK Jarosław,55
6,ZYSK Tadeusz,165
7,BONK-HAMMERMEISTER Dorota Magdalena,45
7,BRATKOWSKI Wojciech,6
7,HINC Przemysław Jakub,21
7,JAŚKOWIAK Jacek,432
7,LEWANDOWSKI Tomasz Jacek,53
7,PUCEK Jarosław,37
7,ZYSK Tadeusz,129
8,BONK-HAMMERMEISTER Dorota Magdalena,55
8,BRATKOWSKI Wojciech,12
8,HINC Przemysław Jakub,16
8,JAŚKOWIAK Jacek,455
8,LEWANDOWSKI Tomasz Jacek,58
8,PUCEK Jarosław,53
8,ZYSK Tadeusz,149
9,BONK-HAMMERMEISTER Dorota Magdalena,58
9,BRATKOWSKI Wojciech,14
9,HINC Przemysław Jakub,20
9,JAŚKOWIAK Jacek,367
9,LEWANDOWSKI Tomasz Jacek,74
9,PUCEK Jarosław,74
9,ZYSK Tadeusz,160
10,BONK-HAMMERMEISTER Dorota Magdalena,56
10,BRATKOWSKI Wojciech,11
10,HINC Przemysław Jakub,19
10,JAŚKOWIAK Jacek,407
10,LEWANDOWSKI Tomasz Jacek,60
10,PUCEK Jarosław,49
10,ZYSK Tadeusz,172
11,BONK-HAMMERMEISTER Dorota Magdalena,58
11,BRATKOWSKI Wojciech,9
11,HINC Przemysław Jakub,9
11,JAŚKOWIAK Jacek,369
11,LEWANDOWSKI Tomasz Jacek,56
11,PUCEK Jarosław,55
11,ZYSK Tadeusz,138
12,BONK-HAMMERMEISTER Dorota Magdalena,103
12,BRATKOWSKI Wojciech,22
12,HINC Przemysław Jakub,27
12,JAŚKOWIAK Jacek,751
12,LEWANDOWSKI Tomasz Jacek,72
12,PUCEK Jarosław,108
12,ZYSK Tadeusz,219
13,BONK-HAMMERMEISTER Dorota Magdalena,75
13,BRATKOWSKI Wojciech,23
13,HINC Przemysław Jakub,22
13,JAŚKOWIAK Jacek,567
13,LEWANDOWSKI Tomasz Jacek,73
13,PUCEK Jarosław,89
13,ZYSK Tadeusz,230
14,BONK-HAMMERMEISTER Dorota Magdalena,19
14,BRATKOWSKI Wojciech,18
14,HINC Przemysław Jakub,9
14,JAŚKOWIAK Jacek,429
14,LEWANDOWSKI Tomasz Jacek,68
14,PUCEK Jarosław,58
14,ZYSK Tadeusz,217
15,BONK-HAMMERMEISTER Dorota Magdalena,37
15,BRATKOWSKI Wojciech,11
15,HINC Przemysław Jakub,23
15,JAŚKOWIAK Jacek,558
15,LEWANDOWSKI Tomasz Jacek,62
15,PUCEK Jarosław,94
15,ZYSK Tadeusz,232
16,BONK-HAMMERMEISTER Dorota Magdalena,34
16,BRATKOWSKI Wojciech,13
16,HINC Przemysław Jakub,11
16,JAŚKOWIAK Jacek,449
16,LEWANDOWSKI Tomasz Jacek,57
16,PUCEK Jarosław,62
16,ZYSK Tadeusz,212
17,BONK-HAMMERMEISTER Dorota Magdalena,40
17,BRATKOWSKI Wojciech,16
17,HINC Przemysław Jakub,19
17,JAŚKOWIAK Jacek,461
17,LEWANDOWSKI Tomasz Jacek,58
17,PUCEK Jarosław,126
17,ZYSK Tadeusz,193
18,BONK-HAMMERMEISTER Dorota Magdalena,34
18,BRATKOWSKI Wojciech,12
18,HINC Przemysław Jakub,18
18,JAŚKOWIAK Jacek,576
18,LEWANDOWSKI Tomasz Jacek,63
18,PUCEK Jarosław,102
18,ZYSK Tadeusz,226
19,BONK-HAMMERMEISTER Dorota Magdalena,41
19,BRATKOWSKI Wojciech,10
19,HINC Przemysław Jakub,17
19,JAŚKOWIAK Jacek,588
19,LEWANDOWSKI Tomasz Jacek,71
19,PUCEK Jarosław,90
19,ZYSK Tadeusz,223
20,BONK-HAMMERMEISTER Dorota Magdalena,46
20,BRATKOWSKI Wojciech,13
20,HINC Przemysław Jakub,22
20,JAŚKOWIAK Jacek,532
20,LEWANDOWSKI Tomasz Jacek,56
20,PUCEK Jarosław,63
20,ZYSK Tadeusz,192
21,BONK-HAMMERMEISTER Dorota Magdalena,29
21,BRATKOWSKI Wojciech,11
21,HINC Przemysław Jakub,13
21,JAŚKOWIAK Jacek,402
21,LEWANDOWSKI Tomasz Jacek,57
21,PUCEK Jarosław,41
21,ZYSK Tadeusz,166
22,BONK-HAMMERMEISTER Dorota Magdalena,21
22,BRATKOWSKI Wojciech,10
22,HINC Przemysław Jakub,20
22,JAŚKOWIAK Jacek,355
22,LEWANDOWSKI Tomasz Jacek,68
22,PUCEK Jarosław,63
22,ZYSK Tadeusz,174
23,BONK-HAMMERMEISTER Dorota Magdalena,24
23,BRATKOWSKI Wojciech,10
